0,6.54388e+13
1,0.931797
2,0.804248
3,1.05202
4,1.86882
5,7.63802
6,-2.09596
7,-0.823458
8,-0.51765
9,-0.315819
10,-0.771828
11,1.73658
12,0.873619
13,0.836348
14,1.23339
15,2.56551
16,-7.90422
17,-1.18935
18,-0.657473
19,-0.459481
20,-0.517292
21,-12.8438
22,1.10871
23,0.783686
24,0.882187
25,1.42787
26,5.20924
27,-2.06672
28,-0.858567
29,-0.633094
30,-0.6191
31,-1.43567
32,2.39086
33,0.914091
34,0.763183
35,0.96439
36,1.86626
37,-8.91094
38,-1.19507
39,-0.73783
40,-0.677839
41,-0.983975
42,-9.9568
43,1.32227
44,0.780737
45,0.745809
46,1.04367
47,3.48288
48,-2.0204
49,-0.8761
50,-0.70545
51,-0.833588
52,-1.87004
53,3.26659
54,1.01894
55,0.785797
56,0.91069
57,1.66219
58,-12.8132
59,-1.20847
60,-0.722818
61,-0.635864
62,-0.863057
63,-6.26865
64,1.43651
65,0.856941
66,0.861419
67,1.28367
68,3.81337
69,-2.41021
70,-0.895282
71,-0.628726
72,-0.560323
73,-1.10678
74,3.10943
75,1.03235
76,0.870552
77,1.1395
78,2.13717
79,-32.374
80,-1.38213
81,-0.704316
82,-0.473422
83,-0.430197
84,-2.93923
85,1.35812
86,0.885621
87,0.969021
88,1.57129
89,4.30001
90,-3.0179
91,-0.937063
92,-0.557894
93,-0.295513
94,-0.399072
95,2.70095
96,1.02468
97,0.948301
98,1.35176
99,2.23603
